&a / °	I1 / %
5.459	0.7
5.454	0.7
5.449	0.7
5.443	0.7
5.438	0.7
5.433	0.7
5.428	0.7
5.422	0.7
5.417	0.7
5.412	0.7
5.406	0.7
5.401	0.7
5.396	0.7
5.390	0.7
5.385	0.7
5.380	0.7
5.375	0.7
5.369	0.7
5.364	0.7
5.359	0.7
5.353	0.7
5.348	0.7
5.343	0.7
5.337	0.7
5.332	0.7
5.327	0.7
5.322	0.7
5.316	0.8
5.311	0.8
5.306	1.0
5.300	1.0
5.295	1.1
5.290	1.1
5.284	1.1
5.279	1.1
5.274	1.2
5.269	1.2
5.263	1.4
5.258	1.4
5.253	1.5
5.247	1.5
5.242	1.5
5.237	1.5
5.231	1.5
5.226	1.5
5.221	1.7
5.216	1.7
5.210	1.9
5.205	1.9
5.200	1.9
5.194	1.9
5.189	2.0
5.184	2.0
5.178	2.3
5.173	2.4
5.168	2.7
5.162	2.8
5.157	2.8
5.152	2.8
5.147	2.8
5.141	3.1
5.136	3.1
5.131	3.1
5.125	3.1
5.120	3.2
5.115	3.5
5.109	3.5
5.104	3.5
5.099	3.5
5.094	3.9
5.088	4.3
5.083	4.3
5.078	4.3
5.072	4.3
5.067	4.6
5.062	5.0
5.056	4.9
5.051	4.7
5.046	4.7
5.040	5.1
5.035	5.1
5.030	5.1
5.025	5.1
5.019	5.5
5.014	6.3
5.009	6.7
5.003	6.3
4.998	5.9
4.993	5.9
4.987	6.3
4.982	6.6
4.977	6.6
4.971	6.3
4.966	6.6
4.961	6.7
4.956	6.7
4.950	6.7
4.945	6.7
4.940	7.5
4.934	8.7
4.929	9.1
4.924	9.1
4.918	8.7
4.913	8.4
4.908	8.7
4.902	8.7
4.897	8.3
4.892	7.9
4.887	8.0
4.881	8.8
4.876	9.1
4.871	9.1
4.865	9.1
4.860	9.9
4.855	11.4
4.849	12.3
4.844	11.9
4.839	11.2
4.833	10.8
4.828	11.2
4.823	11.5
4.818	11.1
4.812	10.7
4.807	11.0
4.802	11.4
